Area,Year,Variable,Variable Value
Portugal,1988-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1988-01-01,Item,Population - Est. & Proj.
Nigeria,1988-01-01,Item,Population - Est. & Proj.
United States of America,1988-01-01,Item,Population - Est. & Proj.
India,1988-01-01,Item,Population - Est. & Proj.
Portugal,1989-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1989-01-01,Item,Population - Est. & Proj.
Nigeria,1989-01-01,Item,Population - Est. & Proj.
United States of America,1989-01-01,Item,Population - Est. & Proj.
India,1989-01-01,Item,Population - Est. & Proj.
Portugal,1990-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1990-01-01,Item,Population - Est. & Proj.
Nigeria,1990-01-01,Item,Population - Est. & Proj.
United States of America,1990-01-01,Item,Population - Est. & Proj.
India,1990-01-01,Item,Population - Est. & Proj.
Portugal,1991-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1991-01-01,Item,Population - Est. & Proj.
Nigeria,1991-01-01,Item,Population - Est. & Proj.
United States of America,1991-01-01,Item,Population - Est. & Proj.
India,1991-01-01,Item,Population - Est. & Proj.
Portugal,1992-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1992-01-01,Item,Population - Est. & Proj.
Nigeria,1992-01-01,Item,Population - Est. & Proj.
United States of America,1992-01-01,Item,Population - Est. & Proj.
India,1992-01-01,Item,Population - Est. & Proj.
Portugal,1993-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1993-01-01,Item,Population - Est. & Proj.
Nigeria,1993-01-01,Item,Population - Est. & Proj.
United States of America,1993-01-01,Item,Population - Est. & Proj.
India,1993-01-01,Item,Population - Est. & Proj.
Portugal,1994-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Item,Population - Est. & Proj.
Nigeria,1994-01-01,Item,Population - Est. & Proj.
United States of America,1994-01-01,Item,Population - Est. & Proj.
India,1994-01-01,Item,Population - Est. & Proj.
Portugal,1995-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Item,Population - Est. & Proj.
Nigeria,1995-01-01,Item,Population - Est. & Proj.
United States of America,1995-01-01,Item,Population - Est. & Proj.
India,1995-01-01,Item,Population - Est. & Proj.
Portugal,1996-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Item,Population - Est. & Proj.
Nigeria,1996-01-01,Item,Population - Est. & Proj.
United States of America,1996-01-01,Item,Population - Est. & Proj.
India,1996-01-01,Item,Population - Est. & Proj.
Portugal,1997-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Item,Population - Est. & Proj.
Nigeria,1997-01-01,Item,Population - Est. & Proj.
United States of America,1997-01-01,Item,Population - Est. & Proj.
India,1997-01-01,Item,Population - Est. & Proj.
Portugal,1998-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Item,Population - Est. & Proj.
Nigeria,1998-01-01,Item,Population - Est. & Proj.
United States of America,1998-01-01,Item,Population - Est. & Proj.
India,1998-01-01,Item,Population - Est. & Proj.
Portugal,1999-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Item,Population - Est. & Proj.
Nigeria,1999-01-01,Item,Population - Est. & Proj.
United States of America,1999-01-01,Item,Population - Est. & Proj.
India,1999-01-01,Item,Population - Est. & Proj.
Portugal,2000-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Item,Population - Est. & Proj.
Nigeria,2000-01-01,Item,Population - Est. & Proj.
United States of America,2000-01-01,Item,Population - Est. & Proj.
India,2000-01-01,Item,Population - Est. & Proj.
Portugal,2001-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Item,Population - Est. & Proj.
Nigeria,2001-01-01,Item,Population - Est. & Proj.
United States of America,2001-01-01,Item,Population - Est. & Proj.
India,2001-01-01,Item,Population - Est. & Proj.
Portugal,2002-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Item,Population - Est. & Proj.
Nigeria,2002-01-01,Item,Population - Est. & Proj.
United States of America,2002-01-01,Item,Population - Est. & Proj.
India,2002-01-01,Item,Population - Est. & Proj.
Portugal,2003-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Item,Population - Est. & Proj.
Nigeria,2003-01-01,Item,Population - Est. & Proj.
United States of America,2003-01-01,Item,Population - Est. & Proj.
India,2003-01-01,Item,Population - Est. & Proj.
Portugal,2004-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Item,Population - Est. & Proj.
Nigeria,2004-01-01,Item,Population - Est. & Proj.
United States of America,2004-01-01,Item,Population - Est. & Proj.
India,2004-01-01,Item,Population - Est. & Proj.
Portugal,2005-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Item,Population - Est. & Proj.
Nigeria,2005-01-01,Item,Population - Est. & Proj.
United States of America,2005-01-01,Item,Population - Est. & Proj.
India,2005-01-01,Item,Population - Est. & Proj.
Portugal,2006-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Item,Population - Est. & Proj.
Nigeria,2006-01-01,Item,Population - Est. & Proj.
United States of America,2006-01-01,Item,Population - Est. & Proj.
India,2006-01-01,Item,Population - Est. & Proj.
Portugal,2007-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Item,Population - Est. & Proj.
Nigeria,2007-01-01,Item,Population - Est. & Proj.
United States of America,2007-01-01,Item,Population - Est. & Proj.
India,2007-01-01,Item,Population - Est. & Proj.
Portugal,2008-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Item,Population - Est. & Proj.
Nigeria,2008-01-01,Item,Population - Est. & Proj.
United States of America,2008-01-01,Item,Population - Est. & Proj.
India,2008-01-01,Item,Population - Est. & Proj.
Portugal,2009-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2009-01-01,Item,Population - Est. & Proj.
Nigeria,2009-01-01,Item,Population - Est. & Proj.
United States of America,2009-01-01,Item,Population - Est. & Proj.
India,2009-01-01,Item,Population - Est. & Proj.
Portugal,2010-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2010-01-01,Item,Population - Est. & Proj.
Nigeria,2010-01-01,Item,Population - Est. & Proj.
United States of America,2010-01-01,Item,Population - Est. & Proj.
India,2010-01-01,Item,Population - Est. & Proj.
Portugal,2011-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2011-01-01,Item,Population - Est. & Proj.
Nigeria,2011-01-01,Item,Population - Est. & Proj.
United States of America,2011-01-01,Item,Population - Est. & Proj.
India,2011-01-01,Item,Population - Est. & Proj.
Portugal,2012-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2012-01-01,Item,Population - Est. & Proj.
Nigeria,2012-01-01,Item,Population - Est. & Proj.
United States of America,2012-01-01,Item,Population - Est. & Proj.
India,2012-01-01,Item,Population - Est. & Proj.
Portugal,2013-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2013-01-01,Item,Population - Est. & Proj.
Nigeria,2013-01-01,Item,Population - Est. & Proj.
United States of America,2013-01-01,Item,Population - Est. & Proj.
India,2013-01-01,Item,Population - Est. & Proj.
Portugal,2014-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2014-01-01,Item,Population - Est. & Proj.
Nigeria,2014-01-01,Item,Population - Est. & Proj.
United States of America,2014-01-01,Item,Population - Est. & Proj.
India,2014-01-01,Item,Population - Est. & Proj.
Portugal,2015-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2015-01-01,Item,Population - Est. & Proj.
Nigeria,2015-01-01,Item,Population - Est. & Proj.
United States of America,2015-01-01,Item,Population - Est. & Proj.
India,2015-01-01,Item,Population - Est. & Proj.
Portugal,2016-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2016-01-01,Item,Population - Est. & Proj.
Nigeria,2016-01-01,Item,Population - Est. & Proj.
United States of America,2016-01-01,Item,Population - Est. & Proj.
India,2016-01-01,Item,Population - Est. & Proj.
Portugal,2017-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2017-01-01,Item,Population - Est. & Proj.
Nigeria,2017-01-01,Item,Population - Est. & Proj.
United States of America,2017-01-01,Item,Population - Est. & Proj.
India,2017-01-01,Item,Population - Est. & Proj.
Portugal,2018-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2018-01-01,Item,Population - Est. & Proj.
Nigeria,2018-01-01,Item,Population - Est. & Proj.
United States of America,2018-01-01,Item,Population - Est. & Proj.
India,2018-01-01,Item,Population - Est. & Proj.
Portugal,2019-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2019-01-01,Item,Population - Est. & Proj.
Nigeria,2019-01-01,Item,Population - Est. & Proj.
United States of America,2019-01-01,Item,Population - Est. & Proj.
India,2019-01-01,Item,Population - Est. & Proj.
Portugal,2020-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2020-01-01,Item,Population - Est. & Proj.
Nigeria,2020-01-01,Item,Population - Est. & Proj.
United States of America,2020-01-01,Item,Population - Est. & Proj.
India,2020-01-01,Item,Population - Est. & Proj.
Portugal,2021-01-01,Item,Population - Est. & Proj.
United Kingdom of Great Britain and Northern Ireland,2021-01-01,Item,Population - Est. & Proj.
Nigeria,2021-01-01,Item,Population - Est. & Proj.
United States of America,2021-01-01,Item,Population - Est. & Proj.
India,2021-01-01,Item,Population - Est. & Proj.
Portugal,1950-01-01,Unit,1000 No
Nigeria,1950-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Unit,1000 No
United States of America,1950-01-01,Unit,1000 No
India,1950-01-01,Unit,1000 No
Portugal,1951-01-01,Unit,1000 No
Nigeria,1951-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Unit,1000 No
United States of America,1951-01-01,Unit,1000 No
India,1951-01-01,Unit,1000 No
Portugal,1952-01-01,Unit,1000 No
Nigeria,1952-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Unit,1000 No
United States of America,1952-01-01,Unit,1000 No
India,1952-01-01,Unit,1000 No
Portugal,1953-01-01,Unit,1000 No
Nigeria,1953-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1953-01-01,Unit,1000 No
United States of America,1953-01-01,Unit,1000 No
India,1953-01-01,Unit,1000 No
Portugal,1954-01-01,Unit,1000 No
Nigeria,1954-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1954-01-01,Unit,1000 No
United States of America,1954-01-01,Unit,1000 No
India,1954-01-01,Unit,1000 No
Portugal,1955-01-01,Unit,1000 No
Nigeria,1955-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1955-01-01,Unit,1000 No
United States of America,1955-01-01,Unit,1000 No
India,1955-01-01,Unit,1000 No
Portugal,1956-01-01,Unit,1000 No
Nigeria,1956-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1956-01-01,Unit,1000 No
United States of America,1956-01-01,Unit,1000 No
India,1956-01-01,Unit,1000 No
Portugal,1957-01-01,Unit,1000 No
Nigeria,1957-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1957-01-01,Unit,1000 No
United States of America,1957-01-01,Unit,1000 No
India,1957-01-01,Unit,1000 No
Portugal,1958-01-01,Unit,1000 No
Nigeria,1958-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1958-01-01,Unit,1000 No
United States of America,1958-01-01,Unit,1000 No
India,1958-01-01,Unit,1000 No
Portugal,1959-01-01,Unit,1000 No
Nigeria,1959-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Unit,1000 No
United States of America,1959-01-01,Unit,1000 No
India,1959-01-01,Unit,1000 No
Portugal,1960-01-01,Unit,1000 No
Nigeria,1960-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Unit,1000 No
United States of America,1960-01-01,Unit,1000 No
India,1960-01-01,Unit,1000 No
Portugal,1961-01-01,Unit,1000 No
Nigeria,1961-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Unit,1000 No
United States of America,1961-01-01,Unit,1000 No
India,1961-01-01,Unit,1000 No
Portugal,1962-01-01,Unit,1000 No
Nigeria,1962-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Unit,1000 No
United States of America,1962-01-01,Unit,1000 No
India,1962-01-01,Unit,1000 No
Portugal,1963-01-01,Unit,1000 No
Nigeria,1963-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Unit,1000 No
United States of America,1963-01-01,Unit,1000 No
India,1963-01-01,Unit,1000 No
Portugal,1964-01-01,Unit,1000 No
Nigeria,1964-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Unit,1000 No
United States of America,1964-01-01,Unit,1000 No
India,1964-01-01,Unit,1000 No
Portugal,1965-01-01,Unit,1000 No
Nigeria,1965-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Unit,1000 No
United States of America,1965-01-01,Unit,1000 No
India,1965-01-01,Unit,1000 No
Portugal,1966-01-01,Unit,1000 No
Nigeria,1966-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1966-01-01,Unit,1000 No
United States of America,1966-01-01,Unit,1000 No
India,1966-01-01,Unit,1000 No
Portugal,1967-01-01,Unit,1000 No
Nigeria,1967-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1967-01-01,Unit,1000 No
United States of America,1967-01-01,Unit,1000 No
India,1967-01-01,Unit,1000 No
Portugal,1968-01-01,Unit,1000 No
Nigeria,1968-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1968-01-01,Unit,1000 No
United States of America,1968-01-01,Unit,1000 No
India,1968-01-01,Unit,1000 No
Portugal,1969-01-01,Unit,1000 No
Nigeria,1969-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1969-01-01,Unit,1000 No
United States of America,1969-01-01,Unit,1000 No
India,1969-01-01,Unit,1000 No
Portugal,1970-01-01,Unit,1000 No
Nigeria,1970-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1970-01-01,Unit,1000 No
United States of America,1970-01-01,Unit,1000 No
India,1970-01-01,Unit,1000 No
Portugal,1971-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1971-01-01,Unit,1000 No
Nigeria,1971-01-01,Unit,1000 No
United States of America,1971-01-01,Unit,1000 No
India,1971-01-01,Unit,1000 No
Portugal,1972-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1972-01-01,Unit,1000 No
Nigeria,1972-01-01,Unit,1000 No
United States of America,1972-01-01,Unit,1000 No
India,1972-01-01,Unit,1000 No
Portugal,1973-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1973-01-01,Unit,1000 No
Nigeria,1973-01-01,Unit,1000 No
United States of America,1973-01-01,Unit,1000 No
India,1973-01-01,Unit,1000 No
Portugal,1974-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1974-01-01,Unit,1000 No
Nigeria,1974-01-01,Unit,1000 No
United States of America,1974-01-01,Unit,1000 No
India,1974-01-01,Unit,1000 No
Portugal,1975-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1975-01-01,Unit,1000 No
Nigeria,1975-01-01,Unit,1000 No
United States of America,1975-01-01,Unit,1000 No
India,1975-01-01,Unit,1000 No
Portugal,1976-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1976-01-01,Unit,1000 No
Nigeria,1976-01-01,Unit,1000 No
United States of America,1976-01-01,Unit,1000 No
India,1976-01-01,Unit,1000 No
Portugal,1977-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1977-01-01,Unit,1000 No
Nigeria,1977-01-01,Unit,1000 No
United States of America,1977-01-01,Unit,1000 No
India,1977-01-01,Unit,1000 No
Portugal,1978-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1978-01-01,Unit,1000 No
Nigeria,1978-01-01,Unit,1000 No
United States of America,1978-01-01,Unit,1000 No
India,1978-01-01,Unit,1000 No
Portugal,1979-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1979-01-01,Unit,1000 No
Nigeria,1979-01-01,Unit,1000 No
United States of America,1979-01-01,Unit,1000 No
India,1979-01-01,Unit,1000 No
Portugal,1980-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1980-01-01,Unit,1000 No
Nigeria,1980-01-01,Unit,1000 No
United States of America,1980-01-01,Unit,1000 No
India,1980-01-01,Unit,1000 No
Portugal,1981-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1981-01-01,Unit,1000 No
Nigeria,1981-01-01,Unit,1000 No
United States of America,1981-01-01,Unit,1000 No
India,1981-01-01,Unit,1000 No
Portugal,1982-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1982-01-01,Unit,1000 No
Nigeria,1982-01-01,Unit,1000 No
United States of America,1982-01-01,Unit,1000 No
India,1982-01-01,Unit,1000 No
Portugal,1983-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1983-01-01,Unit,1000 No
Nigeria,1983-01-01,Unit,1000 No
United States of America,1983-01-01,Unit,1000 No
India,1983-01-01,Unit,1000 No
Portugal,1984-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1984-01-01,Unit,1000 No
Nigeria,1984-01-01,Unit,1000 No
United States of America,1984-01-01,Unit,1000 No
India,1984-01-01,Unit,1000 No
Portugal,1985-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1985-01-01,Unit,1000 No
Nigeria,1985-01-01,Unit,1000 No
United States of America,1985-01-01,Unit,1000 No
India,1985-01-01,Unit,1000 No
Portugal,1986-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1986-01-01,Unit,1000 No
Nigeria,1986-01-01,Unit,1000 No
United States of America,1986-01-01,Unit,1000 No
India,1986-01-01,Unit,1000 No
Portugal,1987-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1987-01-01,Unit,1000 No
Nigeria,1987-01-01,Unit,1000 No
United States of America,1987-01-01,Unit,1000 No
India,1987-01-01,Unit,1000 No
Portugal,1988-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1988-01-01,Unit,1000 No
Nigeria,1988-01-01,Unit,1000 No
United States of America,1988-01-01,Unit,1000 No
India,1988-01-01,Unit,1000 No
Portugal,1989-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1989-01-01,Unit,1000 No
Nigeria,1989-01-01,Unit,1000 No
United States of America,1989-01-01,Unit,1000 No
India,1989-01-01,Unit,1000 No
Portugal,1990-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1990-01-01,Unit,1000 No
Nigeria,1990-01-01,Unit,1000 No
United States of America,1990-01-01,Unit,1000 No
India,1990-01-01,Unit,1000 No
Portugal,1991-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1991-01-01,Unit,1000 No
Nigeria,1991-01-01,Unit,1000 No
United States of America,1991-01-01,Unit,1000 No
India,1991-01-01,Unit,1000 No
Portugal,1992-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1992-01-01,Unit,1000 No
Nigeria,1992-01-01,Unit,1000 No
United States of America,1992-01-01,Unit,1000 No
India,1992-01-01,Unit,1000 No
Portugal,1993-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1993-01-01,Unit,1000 No
Nigeria,1993-01-01,Unit,1000 No
United States of America,1993-01-01,Unit,1000 No
India,1993-01-01,Unit,1000 No
Portugal,1994-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Unit,1000 No
Nigeria,1994-01-01,Unit,1000 No
United States of America,1994-01-01,Unit,1000 No
India,1994-01-01,Unit,1000 No
Portugal,1995-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Unit,1000 No
Nigeria,1995-01-01,Unit,1000 No
United States of America,1995-01-01,Unit,1000 No
India,1995-01-01,Unit,1000 No
Portugal,1996-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Unit,1000 No
Nigeria,1996-01-01,Unit,1000 No
United States of America,1996-01-01,Unit,1000 No
India,1996-01-01,Unit,1000 No
Portugal,1997-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Unit,1000 No
Nigeria,1997-01-01,Unit,1000 No
United States of America,1997-01-01,Unit,1000 No
India,1997-01-01,Unit,1000 No
Portugal,1998-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Unit,1000 No
Nigeria,1998-01-01,Unit,1000 No
United States of America,1998-01-01,Unit,1000 No
India,1998-01-01,Unit,1000 No
Portugal,1999-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Unit,1000 No
Nigeria,1999-01-01,Unit,1000 No
United States of America,1999-01-01,Unit,1000 No
India,1999-01-01,Unit,1000 No
Portugal,2000-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Unit,1000 No
Nigeria,2000-01-01,Unit,1000 No
United States of America,2000-01-01,Unit,1000 No
India,2000-01-01,Unit,1000 No
Portugal,2001-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Unit,1000 No
Nigeria,2001-01-01,Unit,1000 No
United States of America,2001-01-01,Unit,1000 No
India,2001-01-01,Unit,1000 No
Portugal,2002-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Unit,1000 No
Nigeria,2002-01-01,Unit,1000 No
United States of America,2002-01-01,Unit,1000 No
India,2002-01-01,Unit,1000 No
Portugal,2003-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Unit,1000 No
Nigeria,2003-01-01,Unit,1000 No
United States of America,2003-01-01,Unit,1000 No
India,2003-01-01,Unit,1000 No
Portugal,2004-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Unit,1000 No
Nigeria,2004-01-01,Unit,1000 No
United States of America,2004-01-01,Unit,1000 No
India,2004-01-01,Unit,1000 No
Portugal,2005-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Unit,1000 No
Nigeria,2005-01-01,Unit,1000 No
United States of America,2005-01-01,Unit,1000 No
India,2005-01-01,Unit,1000 No
Portugal,2006-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Unit,1000 No
Nigeria,2006-01-01,Unit,1000 No
United States of America,2006-01-01,Unit,1000 No
India,2006-01-01,Unit,1000 No
Portugal,2007-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Unit,1000 No
Nigeria,2007-01-01,Unit,1000 No
United States of America,2007-01-01,Unit,1000 No
India,2007-01-01,Unit,1000 No
Portugal,2008-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Unit,1000 No
Nigeria,2008-01-01,Unit,1000 No
United States of America,2008-01-01,Unit,1000 No
India,2008-01-01,Unit,1000 No
Portugal,2009-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2009-01-01,Unit,1000 No
Nigeria,2009-01-01,Unit,1000 No
United States of America,2009-01-01,Unit,1000 No
India,2009-01-01,Unit,1000 No
Portugal,2010-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2010-01-01,Unit,1000 No
Nigeria,2010-01-01,Unit,1000 No
United States of America,2010-01-01,Unit,1000 No
India,2010-01-01,Unit,1000 No
Portugal,2011-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2011-01-01,Unit,1000 No
Nigeria,2011-01-01,Unit,1000 No
United States of America,2011-01-01,Unit,1000 No
India,2011-01-01,Unit,1000 No
Portugal,2012-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2012-01-01,Unit,1000 No
Nigeria,2012-01-01,Unit,1000 No
United States of America,2012-01-01,Unit,1000 No
India,2012-01-01,Unit,1000 No
Portugal,2013-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2013-01-01,Unit,1000 No
Nigeria,2013-01-01,Unit,1000 No
United States of America,2013-01-01,Unit,1000 No
India,2013-01-01,Unit,1000 No
Portugal,2014-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2014-01-01,Unit,1000 No
Nigeria,2014-01-01,Unit,1000 No
United States of America,2014-01-01,Unit,1000 No
India,2014-01-01,Unit,1000 No
Portugal,2015-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2015-01-01,Unit,1000 No
Nigeria,2015-01-01,Unit,1000 No
United States of America,2015-01-01,Unit,1000 No
India,2015-01-01,Unit,1000 No
Portugal,2016-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2016-01-01,Unit,1000 No
Nigeria,2016-01-01,Unit,1000 No
United States of America,2016-01-01,Unit,1000 No
India,2016-01-01,Unit,1000 No
Portugal,2017-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2017-01-01,Unit,1000 No
Nigeria,2017-01-01,Unit,1000 No
United States of America,2017-01-01,Unit,1000 No
India,2017-01-01,Unit,1000 No
Portugal,2018-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2018-01-01,Unit,1000 No
Nigeria,2018-01-01,Unit,1000 No
United States of America,2018-01-01,Unit,1000 No
India,2018-01-01,Unit,1000 No
Portugal,2019-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2019-01-01,Unit,1000 No
Nigeria,2019-01-01,Unit,1000 No
United States of America,2019-01-01,Unit,1000 No
India,2019-01-01,Unit,1000 No
Portugal,2020-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2020-01-01,Unit,1000 No
Nigeria,2020-01-01,Unit,1000 No
United States of America,2020-01-01,Unit,1000 No
India,2020-01-01,Unit,1000 No
Portugal,2021-01-01,Unit,1000 No
United Kingdom of Great Britain and Northern Ireland,2021-01-01,Unit,1000 No
Nigeria,2021-01-01,Unit,1000 No
United States of America,2021-01-01,Unit,1000 No
India,2021-01-01,Unit,1000 No
Portugal,1950-01-01,Value,8416.952
Nigeria,1950-01-01,Value,37189.369
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Value,50055.065
United States of America,1950-01-01,Value,148281.55
India,1950-01-01,Value,357021.1
Portugal,1951-01-01,Value,8472.644
Nigeria,1951-01-01,Value,37903.171
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Value,50271.904
United States of America,1951-01-01,Value,150598.453
India,1951-01-01,Value,364922.36
Portugal,1952-01-01,Value,8523.684
Nigeria,1952-01-01,Value,38624.425
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Value,50484.813
United States of America,1952-01-01,Value,152941.727
India,1952-01-01,Value,372997.188
